age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,remark,pline,track,hhead,respond,year,returnee
26.0,12.0,59999.98046875,4.0,1,783700.0,195285.0,80000.0,44900.004,,1.0,1.0,1.0,2.0,1.0,,4.0,0.0,0.0,,1.0,1.0,2013024385,,4.0,1,0.0,0.0,2015.0,0.0
40.0,12.0,29999.9921875,5.0,0,203334.48,110900.0,10000.0,91396.01,,0.0,1.0,1.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2013007163,,7.0,1,0.0,0.0,2015.0,0.0
60.0,0.0,,7.0,0,109188.17,87150.0,15000.0,8272.0,,0.0,1.0,2.0,3.0,1.0,,3.0,,0.0,0.0,1.0,2.0,201101592,,1.0,1,1.0,1.0,2015.0,1.0
25.0,15.0,,4.0,0,212300.0,22647.0,,21899.992,,0.0,1.0,1.0,1.0,0.0,,3.0,,0.0,0.0,1.0,1.0,2015016278,,1.0,0,0.0,1.0,2015.0,1.0
30.0,9.0,,4.0,0,81028.43,13923.0,5000.0,16206.045,,1.0,1.0,1.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,2013018560,,3.0,1,0.0,0.0,2015.0,1.0
40.0,12.0,95999.9765625,4.0,0,284671.94,137770.0,,29410.0,,1.0,0.0,2.0,2.0,1.0,2.0,,0.0,0.0,,2.0,1.0,2015013498,,2.0,0,1.0,0.0,2015.0,0.0
41.0,9.0,,3.0,0,1737000.0,221000.0,200000.0,41513.367,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,,1.0,1.0,2013022064,,1.0,1,1.0,0.0,2015.0,1.0
57.0,0.0,,5.0,0,98100.0,22230.0,,32880.004,,0.0,,2.0,,,,,,,,1.0,2.0,2013002669,,2.0,1,0.0,0.0,2015.0,0.0
24.0,9.0,,5.0,0,97922.164,-240.0,,20559.637,,1.0,1.0,2.0,2.0,1.0,3.0,,,0.0,0.0,1.0,2.0,2013020873,,3.0,1,0.0,0.0,2015.0,1.0
31.0,12.0,,5.0,0,71488.77,741.0,,42199.99,,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2013024934,,8.0,1,0.0,0.0,2015.0,1.0
22.0,12.0,,3.0,0,233677.61,14100.0,,12801.0,,1.0,,1.0,,,,,,,0.0,1.0,2.0,2013023273,,5.0,1,0.0,0.0,2015.0,0.0
