age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,track,hhead,year,hhid_2011,hhid_2013,hhid_2015,hhid_2017,returnee
26.0,15.0,48000.0,3.0,0,1076502.0,143288.17,136354.0,74640.0,,0.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,,1.0,1.0,2015014218,3,1,,2017.0,.,.,2015014218,2017025336,1.0
32.0,15.0,55000.0,1.0,0,17300.0,55001.0,0.0,29400.0,,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,,3.0,1.0,2015031188,1,1,1.0,2017.0,.,.,2015031188,2017016808,0.0
22.0,15.0,48000.0,4.0,0,152519.0,100707.5,200000.0,43252.0,,1.0,1.0,1.0,1.0,1.0,,3.0,0.0,0.0,0.0,1.0,2.0,2015018180,3,1,,2017.0,.,.,2015018180,2017014351,0.0
36.0,9.0,26000.0,4.0,1,626510.0,87765.0,0.0,41968.0,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,,0.0,0.0,1.0,1.0,201108282,4,1,,2017.0,201108282,2013026844,2015036041,2017033010,0.0
37.0,9.0,,2.0,1,554950.0,24514.0,0.0,482992.0,,0.0,1.0,2.0,2.0,0.0,,,,,,1.0,1.0,2015035230,2,1,,2017.0,.,.,2015035230,2017035423,1.0
27.0,,16000.0,3.0,0,591401.0,22766.0,96645.0,13615.0,,1.0,1.0,1.0,2.0,1.0,,3.0,0.0,0.0,,1.0,1.0,2017031094,2,0,,2017.0,.,.,.,2017031094,0.0
50.0,15.0,63600.0,1.0,0,1971092.0,159210.0,,110560.0,5400.0,0.0,0.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013027515,1,1,1.0,2017.0,.,2013027515,2015036712,2017020378,1.0
49.0,9.0,,5.0,0,1050848.0,175482.0,0.0,90580.0,,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,,0.0,1.0,1.0,2017020549,1,0,1.0,2017.0,.,.,.,2017020549,1.0
54.0,0.0,20000.0,2.0,0,215800.0,25657.0,50000.0,35851.0,,0.0,1.0,2.0,3.0,1.0,,4.0,0.0,0.0,0.0,1.0,2.0,2015018320,2,1,,2017.0,.,.,2015018320,2017039793,0.0
34.0,9.0,0.0,7.0,5,1431037.0,324711.0,0.0,172500.0,,0.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,,1.0,1.0,2015027478,3,1,,2017.0,.,.,2015027478,2017016592,1.0
30.0,16.0,62400.0,2.0,0,1272000.0,188789.0,347772.0,82924.0,,1.0,0.0,2.0,1.0,1.0,,,0.0,0.0,0.0,1.0,1.0,2013008987,2,1,,2017.0,.,2013008987,2015011562,2017000202,0.0
31.0,9.0,60000.0,6.0,1,270000.0,208435.0,0.0,53544.0,,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,201106181,21,1,,2017.0,201106181,2013018290,2015024165,2017020083,0.0
40.0,0.0,,3.0,1,587491.0,26603.0,30000.0,86820.0,,0.0,1.0,2.0,1.0,0.0,,3.0,,0.0,0.0,2.0,1.0,2015032055,5,1,,2017.0,.,.,2015032055,2017000189,1.0
54.0,16.0,55000.0,3.0,1,953346.0,84105.5,80000.0,132240.0,,1.0,,2.0,1.0,1.0,1.0,2.0,0.0,1.0,,1.0,1.0,2013025605,2,1,1.0,2017.0,.,2013025605,2015034426,2017008593,1.0
33.0,9.0,33600.0,3.0,0,26252.0,69608.75,100000.0,56128.0,,0.0,1.0,2.0,1.0,1.0,,,0.0,0.0,0.0,2.0,1.0,2017036883,2,0,,2017.0,.,.,.,2017036883,0.0
50.0,6.0,,4.0,0,1055604.0,166593.5,0.0,32260.0,,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,,1.0,1.0,2.0,2013013690,1,1,,2017.0,.,2013013690,2015018514,2017029167,1.0
41.0,19.0,80000.0,2.0,0,9326.0,164000.0,,177600.0,,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,2.0,2.0,2015000210,1,1,1.0,2017.0,.,.,2015000210,2017018323,1.0
28.0,15.0,36000.0,2.0,1,779101.0,156240.0,100000.0,99600.0,,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,,1.0,1.0,2017016342,2,0,,2017.0,.,.,.,2017016342,1.0
24.0,16.0,,3.0,0,1407618.0,39535.0,0.0,106278.0,,1.0,0.0,1.0,1.0,0.0,,2.0,,,,1.0,1.0,2017032014,3,0,,2017.0,.,.,.,2017032014,0.0
44.0,9.0,28000.0,4.0,0,819982.0,211668.83,0.0,109284.0,,1.0,1.0,2.0,1.0,1.0,,3.0,0.0,0.0,,1.0,2.0,2013017641,3,1,1.0,2017.0,.,2013017641,2015023374,2017020308,0.0
30.0,9.0,,5.0,0,31254.0,24082.979,,14348.0,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,2013020837,3,1,,2017.0,.,2013020837,2015028632,2017001274,0.0
43.0,6.0,,3.0,0,33700.0,45021.0,70000.0,103276.0,,0.0,1.0,2.0,3.0,0.0,3.0,,,,,2.0,1.0,2015006561,1,1,,2017.0,.,.,2015006561,2017024953,0.0
18.0,16.0,,3.0,0,1420000.0,143600.0,25000.0,60960.0,,0.0,1.0,1.0,2.0,0.0,,,,,,1.0,1.0,2013013841,3,1,,2017.0,.,2013013841,2015018663,2017008427,0.0
