age,education,wage,hh_size,count_car,total_asset,total_income,total_debt,total_consumption,hospitalization_expenses,gender,hukou,marriage,physical_condition,work,old_age_insurance,medical_insurance,unemployment_insurance,housing_fund,poor_hh,house_type,phone_type,hhid,pline,hhead,year,returnee
31.0,12.0,,3.0,0,264970.0,15000.0,0.0,74985.0,,0.0,1.0,2.0,2.0,,,3.0,,,0.0,1.0,2.0,2019028309,3,0,2019.0,1.0
31.0,9.0,30000.0,2.0,0,827629.0,97320.0,120000.0,116286.0,1000.0,0.0,0.0,2.0,2.0,,2.0,1.0,,0.0,,1.0,1.0,2019021590,2,0,2019.0,1.0
28.0,16.0,64000.0,3.0,0,146180.0,70583.5,0.0,234593.0,,1.0,0.0,1.0,1.0,,4.0,1.0,0.0,0.0,0.0,1.0,2.0,2015024965,3,0,2019.0,0.0
22.0,15.0,,3.0,0,332840.0,68388.125,0.0,63600.0,,1.0,1.0,1.0,1.0,,,3.0,,,0.0,1.0,1.0,2019032431,3,0,2019.0,0.0
35.0,9.0,,4.0,0,272945.0,22419.818,0.0,50471.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,,0.0,1.0,3.0,2013021381,7,0,2019.0,1.0
32.0,16.0,120000.0,1.0,1,1172390.0,120611.07,,82944.0,,1.0,,1.0,1.0,0.0,,1.0,0.0,1.0,,1.0,1.0,2019027607,1,1,2019.0,1.0
57.0,6.0,,4.0,1,1574770.0,30147.0,300000.0,83014.0,,0.0,1.0,2.0,2.0,,3.0,,,0.0,0.0,1.0,1.0,2019017770,4,0,2019.0,0.0
37.0,16.0,,2.0,1,9122450.0,250262.5,2250000.0,343402.0,,0.0,1.0,2.0,2.0,1.0,4.0,2.0,,,0.0,1.0,1.0,2019022499,1,1,2019.0,0.0
35.0,9.0,,1.0,0,223300.0,34790.0,,20750.0,,1.0,1.0,1.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2015015784,3,0,2019.0,0.0
24.0,16.0,,3.0,0,60687.0,63345.0,102000.0,19962.0,,1.0,1.0,1.0,1.0,,,3.0,,,1.0,1.0,2.0,2013024395,23,0,2019.0,0.0
37.0,16.0,,2.0,1,3733184.0,502407.0,900000.0,197800.0,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,,1.0,1.0,2019024018,1,1,2019.0,1.0
37.0,9.0,,2.0,0,467580.0,40105.0,,25300.0,,0.0,1.0,2.0,3.0,,4.0,3.0,,0.0,,1.0,1.0,2019013831,1,0,2019.0,1.0
40.0,12.0,36000.0,3.0,1,615829.0,169034.5,20000.0,155355.0,,0.0,1.0,2.0,1.0,,2.0,3.0,0.0,0.0,0.0,1.0,2.0,2013019940,5,0,2019.0,1.0
19.0,16.0,,3.0,0,71500.0,53752.5,0.0,91704.0,,0.0,1.0,1.0,1.0,,,,,,0.0,1.0,1.0,2015006351,3,0,2019.0,0.0
28.0,6.0,15000.0,2.0,0,126950.0,18220.0,110000.0,76588.0,,1.0,1.0,2.0,2.0,,5.0,4.0,,0.0,1.0,1.0,,2013027995,31,0,2019.0,0.0
19.0,12.0,,3.0,0,462540.0,117000.0,100000.0,65261.0,200000.0,0.0,1.0,1.0,3.0,,3.0,3.0,,,0.0,1.0,1.0,2019028998,1,0,2019.0,0.0
34.0,0.0,,3.0,0,53860.0,4600.07,50001.0,35132.0,,0.0,1.0,2.0,2.0,,,3.0,,,0.0,1.0,1.0,2015010305,3,0,2019.0,0.0
33.0,9.0,40000.0,2.0,0,39600.0,71570.0,0.0,44180.0,,1.0,1.0,2.0,2.0,1.0,,,,0.0,0.0,2.0,1.0,2019005570,1,1,2019.0,0.0
27.0,23.0,,3.0,1,5437190.5,96014.92,,62954.0,,0.0,0.0,1.0,1.0,,,4.0,,,,1.0,1.0,2019022087,3,0,2019.0,0.0
22.0,12.0,24000.0,3.0,1,503515.0,24650.5,0.0,101050.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,0.0,0.0,1.0,1.0,2013000949,3,0,2019.0,1.0
35.0,9.0,20000.0,3.0,1,144033.0,52835.0,2000.0,91700.0,,1.0,1.0,2.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2019005360,1,1,2019.0,1.0
43.0,12.0,100000.0,3.0,0,811555.0,207148.86,0.0,163864.0,,1.0,1.0,2.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2019028981,2,1,2019.0,1.0
26.0,16.0,45600.0,4.0,0,511924.0,136209.8,131216.0,39980.0,,1.0,1.0,1.0,1.0,,3.0,,,1.0,0.0,1.0,1.0,2013026553,21,0,2019.0,0.0
22.0,16.0,,4.0,0,104407.0,62598.0,0.0,32358.0,,0.0,1.0,1.0,2.0,,,3.0,,,0.0,1.0,1.0,2019029870,4,0,2019.0,1.0
39.0,12.0,50000.0,3.0,1,562508.0,106435.0,12000.0,83481.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2019021599,2,0,2019.0,0.0
44.0,6.0,,2.0,0,158281.0,42360.5,0.0,50476.0,,0.0,1.0,2.0,1.0,1.0,,,,0.0,0.0,2.0,1.0,2019022800,1,1,2019.0,0.0
49.0,9.0,7200.0,4.0,1,702560.0,371665.0,35000.0,141697.0,,1.0,1.0,2.0,1.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2017030235,1,1,2019.0,0.0
23.0,16.0,,4.0,0,137200.0,34455.0,8500.0,50487.0,,1.0,1.0,1.0,1.0,,,,,,0.0,1.0,1.0,2019008887,3,0,2019.0,0.0
23.0,15.0,48000.0,4.0,1,1052507.5,213420.22,16000.0,211110.0,,0.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2013022794,1,0,2019.0,1.0
56.0,9.0,25000.0,2.0,0,1276540.0,50365.0,3000.0,13350.0,,1.0,1.0,2.0,2.0,,3.0,3.0,,0.0,0.0,1.0,1.0,2019002374,1,1,2019.0,1.0
35.0,0.0,,3.0,0,583430.0,119735.0,0.0,77850.0,,0.0,1.0,2.0,1.0,,3.0,3.0,,,0.0,1.0,1.0,2015036428,22,0,2019.0,0.0
18.0,12.0,,3.0,1,134439.0,0.0,0.0,85800.0,,1.0,0.0,1.0,2.0,,,,,,,1.0,2.0,2019008403,3,0,2019.0,0.0
16.0,12.0,,4.0,0,330686.0,76242.0,0.0,91912.0,,1.0,1.0,,1.0,,,3.0,,,0.0,1.0,1.0,2017039554,4,0,2019.0,0.0
31.0,9.0,,2.0,0,117915.0,41265.5,30000.0,130222.0,,0.0,1.0,2.0,2.0,,,3.0,,,0.0,1.0,1.0,2019015856,3,0,2019.0,0.0
29.0,15.0,30000.0,5.0,0,214269.0,133854.0,0.0,65453.0,,1.0,1.0,1.0,1.0,,,3.0,,0.0,0.0,1.0,1.0,2013017005,31,0,2019.0,0.0
18.0,12.0,,4.0,0,28550.0,21043.75,120000.0,49270.0,,1.0,,1.0,2.0,,,2.0,,,0.0,1.0,2.0,2017038239,4,0,2019.0,0.0
54.0,15.0,100000.0,3.0,2,7156800.0,348395.0,620000.0,95530.0,,1.0,,2.0,1.0,,4.0,2.0,,0.0,,1.0,1.0,2019012244,2,0,2019.0,1.0
40.0,15.0,18000.0,2.0,1,522723.5,145587.5,65030.0,162700.0,,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,,1.0,1.0,2015009915,2,0,2019.0,1.0
17.0,12.0,,2.0,1,943256.0,93874.0,0.0,19527.0,,1.0,,,1.0,,,2.0,,,,1.0,2.0,2019028180,4,0,2019.0,0.0
16.0,12.0,,3.0,0,152737.0,30197.0,70000.0,15106.0,,1.0,1.0,,1.0,,,3.0,,,0.0,1.0,2.0,2019005129,4,0,2019.0,0.0
58.0,0.0,,2.0,0,68681.0,3700.0,,52484.0,1500.0,0.0,1.0,2.0,3.0,,3.0,3.0,,,1.0,3.0,2.0,2013026149,2,1,2019.0,1.0
47.0,15.0,30000.0,3.0,1,2867669.0,139510.0,150000.0,92868.0,,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,1.0,2019002144,1,0,2019.0,1.0
